"county" "precinct" "total" "white" "black" "natam" "dem" "rep" "non" "whdem" "whrep" "whnon" "bldem" "blrep" "blnon" "natamdem" "natamrep" "natamnon"
"18" "Brunswick" "FRYING PAN" 2788 2698 87 3 1259 1084 445 1181 1080 437 77 3 7 1 1 1
"19" "Brunswick" "GRISSETTOWN" 3255 2907 346 2 1593 1088 574 1292 1070 545 299 18 29 2 0 0
"20" "Brunswick" "HOODS CREEK" 1223 825 394 4 692 403 128 326 393 106 366 7 21 0 3 1
"21" "Brunswick" "TOWN CREEK" 2293 1938 348 7 1130 827 336 812 813 313 315 12 21 3 2 2
"22" "Brunswick" "WOODBURN" 1608 1149 458 1 909 496 203 509 470 170 399 26 33 1 0 0
"23" "Brunswick" "BELVILLE" 2629 2136 490 3 1205 975 449 776 950 410 427 25 38 2 0 1
"24" "Brunswick" "BOLIVIA" 1262 939 323 0 678 451 133 400 428 111 278 23 22 0 0 0
"25" "Brunswick" "BOILING SPRING LAKES" 2294 2261 27 6 835 980 479 812 975 474 20 3 4 3 2 1
"26" "Brunswick" "LELAND" 2437 1874 561 2 1307 744 386 813 712 349 493 31 37 1 1 0
"27" "Brunswick" "LONGWOOD" 2375 1694 678 3 1297 720 358 671 695 328 625 25 28 1 0 2
"28" "Brunswick" "MOSQUITO" 2101 1957 141 3 736 919 446 608 913 436 126 6 9 2 0 1
"29" "Brunswick" "OAK ISLAND 1" 1112 1107 5 0 447 462 203 442 462 203 5 0 0 0 0 0
"30" "Brunswick" "OAK ISLAND 2" 2094 2090 4 0 965 790 339 963 790 337 2 0 2 0 0 0
"31" "Brunswick" "OAK ISLAND 3" 2128 2123 4 1 849 847 432 845 847 431 4 0 0 0 0 1
"32" "Brunswick" "SOUTHPORT 1" 2199 1965 230 4 1000 779 420 801 759 405 198 18 14 1 2 1
"33" "Brunswick" "SOUTHPORT 2" 1854 1487 363 4 897 623 334 580 602 305 314 21 28 3 0 1
"34" "Brunswick" "SHINGLETREE 1" 2538 2499 39 0 955 1043 540 920 1040 539 35 3 1 0 0 0
"35" "Brunswick" "SHINGLETREE 2" 2968 2940 27 1 959 1395 614 935 1394 611 24 1 2 0 0 1
"36" "Brunswick" "SUPPLY" 1757 1040 716 1 1182 387 188 537 351 152 645 35 36 0 1 0
"37" "Brunswick" "WACCAMAW" 1666 1516 150 0 946 566 154 810 558 148 136 8 6 0 0 0
"38" "Brunswick" "SECESSION 1" 2041 1812 227 2 1131 592 318 942 568 302 187 24 16 2 0 0
"39" "Brunswick" "SECESSION 2" 2494 2451 37 6 1274 789 431 1246 778 427 25 11 1 3 0 3
"40" "Brunswick" "SHALLOTTE" 1801 1562 233 6 1096 449 256 880 441 241 213 7 13 3 1 2
"41" "Columbus" "CERRO GORDO" 955 700 248 7 729 118 108 499 114 87 224 4 20 6 0 1
"42" "Columbus" "FAIR BLUFF" 1403 766 634 3 1155 146 102 581 124 61 573 20 41 1 2 0
"43" "Columbus" "BOLTON" 1377 348 608 421 1194 104 79 228 83 37 579 9 20 387 12 22
"44" "Columbus" "NORTH WHITEVILLE" 1062 879 181 2 678 263 121 523 258 98 153 5 23 2 0 0
"45" "Columbus" "RANSOM" 2771 1670 1068 33 1882 664 225 882 622 166 974 41 53 26 1 6
"46" "Columbus" "SOUTH WHITEVILLE" 1955 1490 457 8 1377 357 221 973 334 183 401 19 37 3 4 1
"47" "Columbus" "SOUTH WILLIAMS" 3813 2519 1289 5 2696 644 473 1581 599 339 1112 45 132 3 0 2
"48" "Columbus" "WACCAMAW" 1708 1171 231 306 1248 304 156 764 285 122 203 10 18 281 9 16
"49" "Columbus" "WHITEVILLE 1" 2723 2013 703 7 1819 629 275 1188 598 227 625 30 48 6 1 0
"50" "Columbus" "WHITEVILLE 2" 1197 612 576 9 878 180 139 369 147 96 504 29 43 5 4 0
"51" "Columbus" "WILLIAMS 1" 1594 1437 154 3 1167 244 183 1040 234 163 126 9 19 1 1 1
"52" "Columbus" "WILLIAMS2" 983 926 52 5 655 204 124 618 198 110 33 6 13 4 0 1
"53" "Columbus" "WEST WHITEVILLE" 1665 987 664 14 1154 309 202 575 271 141 570 36 58 9 2 3
"54" "Columbus" "BUG HILL 1" 418 411 7 0 286 84 48 282 84 45 4 0 3 0 0 0
"55" "Columbus" "BUG HILL 2" 453 284 169 0 359 52 42 210 50 24 149 2 18 0 0 0
"56" "Columbus" "BUG HILL 3" 517 447 70 0 423 61 33 359 59 29 64 2 4 0 0 0
"57" "Columbus" "CHADBOURN" 3249 1944 1264 41 2512 418 319 1347 376 221 1133 38 93 32 4 5
"58" "Columbus" "CHERRY GROVE" 413 383 29 1 298 71 44 272 68 43 26 3 0 0 0 1
"59" "Columbus" "WESTERN PRONG" 518 406 109 3 400 62 56 306 54 46 93 7 9 1 1 1
"60" "Columbus" "BOGUE" 1949 1270 637 42 1557 242 150 915 228 127 604 13 20 38 1 3
"61" "Columbus" "EAST LEES" 700 691 6 3 506 122 72 500 120 71 5 0 1 1 2 0
"62" "Columbus" "NORTH LEES" 875 775 95 5 593 174 108 505 171 99 86 3 6 2 0 3
"63" "Columbus" "SOUTH LEES" 299 298 0 1 249 35 15 248 35 15 0 0 0 1 0 0
"64" "Columbus" "TATUM" 2249 1301 938 10 1916 171 162 1049 145 107 857 26 55 10 0 0
"65" "Columbus" "WEST LEES" 531 484 45 2 388 81 62 345 79 60 42 1 2 1 1 0
"66" "Columbus" "WELCHES CREEK" 1123 433 647 43 913 120 90 297 98 38 584 19 44 32 3 8
"132" "Duplin" "ALBERTSON" 896 812 84 0 520 248 128 450 240 122 70 8 6 0 0 0
"133" "Duplin" "BEULAVILLE" 2075 1905 170 0 1111 644 320 961 631 313 150 13 7 0 0 0
"134" "Duplin" "CALYPSO" 673 576 97 0 330 269 74 244 262 70 86 7 4 0 0 0
"135" "Duplin" "CYPRESS CREEK" 1013 859 153 1 456 289 268 320 283 256 135 6 12 1 0 0
"136" "Duplin" "CEDAR FORK" 535 530 4 1 227 182 126 224 180 126 3 1 0 0 1 0
"137" "Duplin" "CHARITY" 1016 392 622 2 732 173 111 172 144 76 558 29 35 2 0 0
"138" "Duplin" "CHINQUAPIN" 737 588 149 0 422 185 130 286 182 120 136 3 10 0 0 0
"139" "Duplin" "FAISON" 1095 686 407 2 722 249 124 371 232 83 351 16 40 0 1 1
"140" "Duplin" "GLISSON" 563 511 51 1 347 134 82 301 132 78 46 2 3 0 0 1
"141" "Duplin" "HALLSVILLE" 864 591 273 0 565 158 141 329 140 122 236 18 19 0 0 0
"142" "Duplin" "KENANSVILLE" 2434 1362 1071 1 1788 404 242 809 367 186 979 36 56 0 1 0
"143" "Duplin" "LOCKLIN" 429 368 60 1 191 168 70 135 165 68 55 3 2 1 0 0
"144" "Duplin" "MAGNOLIA" 1077 542 531 4 729 250 98 256 227 59 471 23 37 2 0 2
"145" "Duplin" "ROCKFISH" 688 414 274 0 432 180 76 192 167 55 240 13 21 0 0 0
"146" "Duplin" "ROSE HILL" 1410 815 592 3 957 310 143 392 302 121 562 8 22 3 0 0
"147" "Duplin" "SMITH CABIN" 886 750 135 1 493 239 154 372 230 148 121 8 6 0 1 0
"148" "Duplin" "WALLACE" 3044 1983 1056 5 1954 726 364 1019 680 284 933 44 79 2 2 1
"149" "Duplin" "WARSAW" 2992 1506 1483 3 2130 562 300 837 502 167 1291 60 132 2 0 1
"150" "Duplin" "WOLFSCRAPE" 1273 1178 95 0 498 519 256 430 503 245 68 16 11 0 0 0
"151" "New Hanover" "WRIGHTSVILLE BEACH" 2904 2898 5 1 1016 1290 598 1013 1289 596 3 1 1 0 0 1
"152" "New Hanover" "HARNETT 1" 1625 1447 170 8 647 711 267 496 702 249 149 5 16 2 4 2
"153" "New Hanover" "HARNETT 2" 1682 1669 13 0 361 1059 262 352 1055 262 9 4 0 0 0 0
"154" "New Hanover" "HARNETT 3" 4384 4284 97 3 1490 2136 758 1406 2129 749 82 6 9 2 1 0
"155" "New Hanover" "HARNETT 4" 3033 2880 148 5 1137 1336 560 1004 1329 547 132 4 12 1 3 1
"156" "New Hanover" "HARNETT 5" 2879 2802 77 0 1097 1329 453 1031 1327 444 66 2 9 0 0 0
"157" "New Hanover" "HARNETT 6" 3022 2728 291 3 1178 1287 557 924 1276 528 253 9 29 1 2 0
"158" "New Hanover" "HARNETT 7" 4008 3237 767 4 1639 1614 755 964 1581 692 673 31 63 2 2 0
"159" "New Hanover" "HARNETT 8" 3918 3865 48 5 1398 1840 680 1362 1829 674 35 8 5 1 3 1
"160" "New Hanover" "HARNETT 9" 2910 2825 82 3 940 1496 474 864 1492 469 75 2 5 1 2 0
"161" "New Hanover" "MASONBORO 2" 4329 4152 173 4 1433 2138 758 1283 2126 743 149 9 15 1 3 0
"162" "New Hanover" "MASONBORO 3" 2752 2549 193 10 1116 1122 514 937 1117 495 175 2 16 4 3 3
"163" "New Hanover" "MASONBORO 4" 3815 3694 117 4 1158 1968 689 1062 1960 672 93 7 17 3 1 0
"164" "New Hanover" "MASONBORO 5" 3835 3761 72 2 1408 1774 653 1349 1770 642 59 3 10 0 1 1
"165" "New Hanover" "WILMINGTON 1" 1261 99 1160 2 1053 73 135 43 21 35 1008 52 100 2 0 0
"166" "New Hanover" "WILMINGTON 2" 2140 1603 534 3 1196 424 520 724 410 469 470 14 50 2 0 1
"167" "New Hanover" "WILMINGTON 3" 2097 921 1172 4 1440 283 374 435 208 278 1003 74 95 2 1 1
"168" "New Hanover" "WILMINGTON 4" 1230 856 370 4 629 341 260 348 309 199 278 32 60 3 0 1
"169" "New Hanover" "WILMINGTON 5" 1537 1419 112 6 627 619 291 534 607 278 91 11 10 2 1 3
"170" "New Hanover" "WILMINGTON 6" 1185 276 909 0 940 118 127 127 83 66 813 35 61 0 0 0
"171" "New Hanover" "WILMINGTON 7" 1637 72 1562 3 1472 60 105 41 10 21 1429 50 83 2 0 1
"172" "New Hanover" "WILMINGTON 8" 1804 1158 643 3 1128 435 241 614 384 160 511 51 81 3 0 0
"173" "New Hanover" "WILMINGTON 9" 1660 1463 196 1 882 454 324 714 445 304 167 9 20 1 0 0
"174" "New Hanover" "WILMINGTON 10" 1455 641 808 6 1001 210 244 281 185 175 716 25 67 4 0 2
"175" "New Hanover" "WILMINGTON 11" 2139 2119 19 1 844 1079 216 828 1077 214 16 2 1 0 0 1
"176" "New Hanover" "WILMINGTON 12" 1942 1823 116 3 869 757 316 777 751 295 89 6 21 3 0 0
"177" "New Hanover" "WILMINGTON 13" 2381 2039 335 7 920 738 723 650 728 661 267 9 59 3 1 3
"178" "New Hanover" "WILMINGTON 14" 1496 1459 35 2 624 637 235 592 633 234 31 3 1 1 1 0
"179" "New Hanover" "WILMINGTON 15" 2612 940 1669 3 1776 433 403 370 359 211 1404 73 192 2 1 0
"180" "New Hanover" "WILMINGTON 16" 3101 3025 65 11 1172 1420 509 1117 1412 496 48 4 13 7 4 0
"181" "New Hanover" "WILMINGTON 17" 1825 1552 272 1 910 676 239 664 667 221 246 9 17 0 0 1
"182" "New Hanover" "WILMINGTON 18" 1587 1565 21 1 652 606 329 642 600 323 10 5 6 0 1 0
"183" "New Hanover" "WILMINGTON 19" 1692 1537 150 5 818 509 365 694 502 341 122 5 23 2 2 1
"184" "New Hanover" "WILMINGTON 20" 1590 1344 242 4 700 565 325 503 542 299 194 22 26 3 1 0
"185" "New Hanover" "WILMINGTON 21" 2722 2607 110 5 878 1180 664 783 1174 650 91 5 14 4 1 0
"186" "New Hanover" "WILMINGTON 22" 1995 1775 215 5 773 695 527 599 679 497 174 13 28 0 3 2
"187" "New Hanover" "WILMINGTON 23" 1238 1187 45 6 482 451 305 446 449 292 34 1 10 2 1 3
"188" "New Hanover" "WILMINGTON 24" 2653 2494 155 4 916 991 746 799 984 711 117 6 32 0 1 3
"189" "New Hanover" "CAPE FEAR 1" 3165 2308 847 10 1752 1025 388 993 991 324 755 30 62 4 4 2
"190" "New Hanover" "CAPE FEAR 2" 2409 2099 301 9 1140 879 390 872 870 357 265 9 27 3 0 6
"191" "New Hanover" "CAPE FEAR 3" 4109 3687 416 6 1560 1799 750 1198 1777 712 360 20 36 2 2 2
"192" "New Hanover" "FEDERAL POINT 1" 3395 3188 197 10 1176 1484 735 994 1470 724 178 9 10 4 5 1
"193" "New Hanover" "FEDERAL POINT 2" 2381 2366 8 7 985 936 460 974 935 457 8 0 0 3 1 3
"194" "New Hanover" "FEDERAL POINT 3" 1450 1447 3 0 511 634 305 509 634 304 2 0 1 0 0 0
"195" "New Hanover" "FEDERAL POINT 4" 2809 2634 175 0 1132 1156 521 975 1152 507 157 4 14 0 0 0
"196" "New Hanover" "FEDERAL POINT 5" 2351 2330 13 8 833 951 567 816 950 564 11 1 1 6 0 2
"197" "Pender" "COLUMBIA" 1107 472 635 0 837 179 91 264 154 54 573 25 37 0 0 0
"198" "Pender" "CASWELL" 709 446 263 0 499 133 77 253 129 64 246 4 13 0 0 0
"199" "Pender" "CANETUCK" 224 99 125 0 169 38 17 55 33 11 114 5 6 0 0 0
"200" "Pender" "GRADY" 1136 732 398 6 699 305 132 319 289 124 377 14 7 3 2 1
"201" "Pender" "LONG CREEK" 1074 792 282 0 630 338 106 371 326 95 259 12 11 0 0 0
"202" "Pender" "LOWER TOPSAIL" 2982 2739 237 6 1184 1305 493 955 1303 481 224 1 12 5 1 0
"203" "Pender" "LOWER UNION" 762 626 135 1 470 212 80 342 211 73 127 1 7 1 0 0
"204" "Pender" "MIDDLE HOLLY" 275 269 5 1 158 87 30 152 87 30 5 0 0 1 0 0
"205" "Pender" "NORTH BURGAW" 1401 1012 386 3 951 305 145 596 295 121 353 10 23 2 0 1
"206" "Pender" "PENDERLEA" 417 362 55 0 262 114 41 209 113 40 53 1 1 0 0 0
"207" "Pender" "ROCKY POINT" 3090 2309 776 5 1592 1019 479 884 989 436 705 30 41 3 0 2
"208" "Pender" "SOUTH BURGAW" 2366 1644 720 2 1576 550 240 912 521 211 664 29 27 0 0 2
"209" "Pender" "SURF CITY" 2073 1942 128 3 979 741 353 862 735 345 116 6 6 1 0 2
"210" "Pender" "SCOTTS HILL" 1191 1174 17 0 441 567 183 428 565 181 13 2 2 0 0 0
"211" "Pender" "UPPER HOLLY" 707 174 532 1 604 66 37 108 53 13 496 12 24 0 1 0
"212" "Pender" "UPPER TOPSAIL" 2786 2614 170 2 1008 1211 567 855 1204 555 152 6 12 1 1 0
"213" "Pender" "UPPER UNION" 907 507 400 0 659 173 75 292 156 59 367 17 16 0 0 0
"214" "Robeson" "ALFORDSVILLE" 875 134 181 560 768 63 44 103 22 9 166 7 8 499 34 27
"215" "Robeson" "BLACK SWAMP" 2120 216 534 1370 1894 124 102 162 39 15 485 22 27 1247 63 60
"216" "Robeson" "BRITTS" 1413 1180 89 144 1182 137 94 979 125 76 74 5 10 129 7 8
"217" "Robeson" "BURNT SWAMP" 1949 93 42 1814 1825 68 56 62 15 16 39 1 2 1724 52 38
"218" "Robeson" "FAIRMONT 1" 3100 1201 1308 591 2756 214 130 981 146 74 1229 40 39 546 28 17
"219" "Robeson" "FAIRMONT 2" 1258 327 700 231 1163 49 46 273 34 20 675 8 17 215 7 9
"220" "Robeson" "GADDY" 654 170 140 344 602 24 28 145 14 11 130 4 6 327 6 11
"221" "Robeson" "EAST HOWELLSVILLE" 1373 1068 191 114 1075 185 113 801 171 96 177 5 9 97 9 8
"222" "Robeson" "WEST HOWELLSVILLE" 944 434 244 266 773 96 75 315 77 42 212 14 18 246 5 15
"223" "Robeson" "LUMBER BRIDGE" 971 405 367 199 724 106 141 233 84 88 323 11 33 168 11 20
"224" "Robeson" "LUMBERTON 1" 4563 3591 311 661 3179 958 426 2336 885 370 272 18 21 571 55 35
"225" "Robeson" "LUMBERTON 2" 1979 1079 685 215 1501 283 195 714 236 129 610 28 47 177 19 19
"226" "Robeson" "LUMBERTON 3" 1702 1351 234 117 1275 287 140 981 254 116 202 16 16 92 17 8
"227" "Robeson" "LUMBERTON 4" 1536 1125 196 215 1149 272 115 818 231 76 156 15 25 175 26 14
"228" "Robeson" "LUMBERTON 5" 1923 424 1300 199 1657 118 148 298 66 60 1198 34 68 161 18 20
"229" "Robeson" "LUMBERTON 6" 1714 61 1540 113 1591 53 70 52 7 2 1433 43 64 106 3 4
"230" "Robeson" "LUMBERTON 7" 1115 218 324 573 967 76 72 162 31 25 286 15 23 519 30 24
"231" "Robeson" "LUMBERTON 8" 2070 1852 143 75 1526 332 212 1345 320 187 120 5 18 61 7 7
"232" "Robeson" "MAXTON" 3802 775 1993 1034 3277 276 249 563 136 76 1850 54 89 864 86 84
"233" "Robeson" "ORRUM" 1129 666 389 74 975 95 59 555 77 34 351 17 21 69 1 4
"234" "Robeson" "PARKTON" 1856 1206 551 99 1229 334 293 668 291 247 484 27 40 77 16 6
"235" "Robeson" "NORTH PEMBROKE" 3003 334 202 2467 2572 255 176 194 87 53 184 5 13 2194 163 110
"236" "Robeson" "SOUTH PEMBROKE" 3651 324 109 3218 3204 274 173 215 60 49 90 8 11 2899 206 113
"237" "Robeson" "PHILADEPLUS" 914 120 94 700 844 36 34 97 12 11 90 1 3 657 23 20
"238" "Robeson" "RAFT SWAMP" 1638 359 160 1119 1442 116 80 281 54 24 134 14 12 1027 48 44
"239" "Robeson" "RED SPRINGS 1" 2633 780 1439 414 2242 201 190 558 132 90 1345 28 66 339 41 34
"240" "Robeson" "RED SPRINGS 2" 1145 656 351 138 915 134 96 500 97 59 315 16 20 100 21 17
"241" "Robeson" "RENNERT" 999 116 130 753 859 81 59 61 33 22 113 6 11 685 42 26
"242" "Robeson" "ROWLAND" 2216 539 1164 513 2027 93 96 440 56 43 1113 19 32 474 18 21
"243" "Robeson" "SADDLETREE" 2149 320 82 1747 1895 138 116 209 68 43 68 8 6 1618 62 67
"244" "Robeson" "NORTH ST PAULS" 2199 1332 743 124 1591 361 247 820 327 185 675 26 42 96 8 20
"245" "Robeson" "SOUTH ST PAULS" 1903 1206 447 250 1409 292 202 813 241 152 381 32 34 215 19 16
"246" "Robeson" "SHANNON" 568 88 138 342 441 57 70 53 18 17 124 4 10 264 35 43
"247" "Robeson" "OXENDINE" 1197 99 52 1046 1044 81 72 70 16 13 45 5 2 929 60 57
"248" "Robeson" "PROSPECT" 1595 77 7 1511 1458 89 48 55 13 9 6 0 1 1397 76 38
"249" "Robeson" "SMYRNA" 910 371 278 261 781 68 61 298 48 25 241 14 23 242 6 13
"250" "Robeson" "STERLINGS" 577 511 49 17 494 54 29 433 52 26 44 2 3 17 0 0
"251" "Robeson" "THOMPSON" 485 113 43 329 431 35 19 79 25 9 38 3 2 314 7 8
"252" "Robeson" "UNION" 1365 162 259 944 1206 105 54 123 26 13 235 12 12 848 67 29
"253" "Robeson" "WHITEHOUSE" 594 288 283 23 508 51 35 224 41 23 267 7 9 17 3 3
"254" "Robeson" "WISHARTS" 2876 1974 227 675 2325 328 223 1534 274 166 186 18 23 605 36 34
"255" "Sampson" "AUTRYVILLE" 1441 1291 146 4 595 698 148 456 692 143 136 5 5 3 1 0
"256" "Sampson" "CENTRAL CLINTON" 1215 155 1054 6 1030 115 70 75 67 13 950 48 56 5 0 1
"257" "Sampson" "EAST CLINTON" 2030 669 1358 3 1517 378 135 276 328 65 1239 49 70 2 1 0
"258" "Sampson" "CLEMENT" 1021 825 161 35 369 570 82 215 537 73 140 12 9 14 21 0
"259" "Sampson" "NORTHEAST CLINTON" 2506 2100 395 11 1301 995 210 934 980 186 359 15 21 8 0 3
"260" "Sampson" "SOUTHWEST CLINTON" 1526 1148 228 150 832 548 146 496 531 121 202 12 14 134 5 11
"261" "Sampson" "WEST CLINTON" 2105 1573 503 29 1115 818 172 640 791 142 450 25 28 25 2 2
"262" "Sampson" "GARLAND" 1211 662 547 2 797 304 110 300 282 80 495 22 30 2 0 0
"263" "Sampson" "GIDDENSVILLE" 1000 575 424 1 643 282 75 285 235 55 357 47 20 1 0 0
"264" "Sampson" "HARRELLS" 1411 516 888 7 1083 248 80 269 205 42 808 42 38 6 1 0
"265" "Sampson" "HERRING" 691 634 52 5 197 459 35 157 444 33 38 12 2 2 3 0
"266" "Sampson" "INGOLD" 1069 563 505 1 689 310 70 218 293 52 471 17 17 0 0 1
"267" "Sampson" "KEENER" 1171 976 190 5 538 522 111 375 497 104 159 25 6 4 0 1
"268" "Sampson" "KITTY FORK" 1423 1027 240 156 747 567 109 399 545 83 222 6 12 126 16 14
"269" "Sampson" "LAKEWOOD" 2284 976 1299 9 1600 505 179 412 453 111 1184 47 68 4 5 0
"270" "Sampson" "MINGO" 1785 1522 249 14 581 1075 129 379 1037 106 198 34 17 4 4 6
"271" "Sampson" "NEWTON GROVE" 1379 1064 312 3 829 438 112 548 420 96 280 17 15 1 1 1
"272" "Sampson" "PLAINVIEW" 1733 1644 80 9 549 1066 118 481 1051 112 61 13 6 7 2 0
"273" "Sampson" "ROSEBORO" 1322 1091 226 5 672 502 148 464 494 133 207 6 13 1 2 2
"274" "Sampson" "ROWAN" 1336 969 348 19 626 584 126 314 560 95 299 23 26 13 1 5
"275" "Sampson" "SALEMBURG" 777 655 120 2 328 388 61 231 368 56 96 19 5 1 1 0
"276" "Sampson" "TURKEY" 1205 695 507 3 793 300 112 333 277 85 459 22 26 1 1 1
"277" "Sampson" "WESTBROOK" 1228 1108 115 5 603 534 91 502 523 83 98 10 7 3 1 1
