precinct	district	avgage	perown	black	white	hispanic	total	dem	rep	novote
37	3	57.45209768	0.985895909	211	394	4	609	77	281	251
38	1	39.78335726	0.327969176	505	81	80	666	223	86	357
39	3	54.2242888	0.566946073	8	659	0	667	70	374	223
40	3	55.39182214	0.833015848	27	765	1	793	155	291	347
41	4	51.78018433	0.755039939	4	522	0	526	99	137	290
42	3	54.56264673	0.985269418	7	580	0	587	63	221	303
43	4	58.6827819	0.381767815	66	768	3	837	85	406	346
44	4	54.21841856	0.761014994	18	537	0	555	41	369	145
45	1	34.09869567	0.278095391	529	4	34	567	227	17	323
46	3	56.2055231	0.751894521	27	742	6	775	66	394	315
47	3	55.52574684	0.596020524	95	411	0	506	45	175	286
48	4	55.84679521	0.669804583	149	559	4	712	54	343	315
49	2	53.95523792	0.896988592	228	409	2	639	90	194	355
50	4	55.34885123	0.976608068	33	688	0	721	173	172	376
51	2	54.38548402	0.809027655	356	463	0	819	209	211	399
52	3	57.08147152	0.552056325	41	536	0	577	68	215	294
53	3	52.78960787	0.242190714	191	544	0	735	206	163	366
54	3	55.33849116	0.31792647	16	654	0	670	55	280	335
55	1	52.15654975	0.077820238	219	405	44	668	119	263	286
56	1	36.30375673	0.190156322	311	35	332	678	244	19	415
57	3	53.6899434	0.956798943	70	459	0	529	109	62	358
58	4	53.82960865	0.276671739	166	336	21	523	67	237	219
59	3	52.41858846	0.578390404	2	621	0	623	54	129	440
60	3	51.00990339	0.486275298	4	774	0	778	42	466	270
61	4	54.05555502	0.935244709	66	457	1	524	42	354	128
62	1	35.28113848	0.568817628	590	23	32	645	259	38	348
63	2	40.0921246	0.367399347	569	73	0	642	138	51	453
64	3	51.62338058	0.661268181	69	951	0	1020	376	71	573
65	4	53.10106484	0.938192153	9	699	0	708	51	384	273
66	4	56.19432332	0.958165179	13	944	1	958	68	229	661
67	3	55.88438923	0.786523421	23	489	12	524	79	225	220
68	2	38.64268884	0.186061088	324	78	416	818	394	49	375
69	2	44.48695322	0.514220203	532	164	0	696	179	86	431
70	2	39.85667443	0.168854157	417	67	0	484	146	35	303
71	1	35.4591778	0.046341524	853	32	1	886	143	70	673
72	4	56.91358024	0.80632919	5	659	0	664	106	235	323
73	2	34.42180486	0.080017495	440	7	196	643	212	30	401
74	3	53.63163339	0.737793295	77	433	0	510	93	150	267
75	2	33.9849721	0.178615648	545	3	8	556	194	31	331
76	2	37.86989744	0.54065708	0	43	652	695	281	49	365
77	1	43.7173955	0.078141815	556	134	6	696	204	145	347
78	2	39.55976772	0.019656605	232	67	362	661	398	67	196
79	1	50.80111051	0.110690862	12	270	378	660	230	89	341
80	4	51.32320828	0.984404937	3	659	1	663	45	368	250
81	2	42.41529753	0.873589691	303	96	78	477	165	65	247
82	1	47.24259854	0.494137235	0	159	302	461	207	43	211
83	3	56.87225512	0.470521617	0	313	168	481	37	225	219
84	3	58.37339934	0.245919594	0	585	158	743	170	189	384
85	1	39.78285624	0.330882963	0	76	457	533	278	33	222
86	2	36.20908469	0.047368425	363	22	246	631	248	27	356
87	4	52.84156037	0.651300062	0	563	11	574	34	379	161
88	1	57.00993047	0.483485174	0	391	249	640	162	150	328
89	2	47.93016511	0.619189592	1	168	429	598	286	49	263
90	4	55.97957815	0.689970952	175	390	22	587	110	102	375
91	1	34.00824275	0.542460799	128	1	391	520	231	16	273
92	1	34.0786264	0.008421502	305	1	285	591	352	18	221
93	1	43.22112938	0.159614725	3	108	468	579	145	62	372
94	4	49.24303571	0.983711069	0	534	1	535	95	90	350
95	4	56.79455554	0.954277862	117	503	23	643	82	236	325
96	1	34.24274207	0.047585701	13	2	624	639	314	15	310
97	4	52.4776528	0.851229081	3	596	99	698	81	173	444
98	4	51.86841794	0.770652927	0	421	162	583	142	124	317
99	2	50.48890869	0.696272627	0	253	362	615	286	203	126
100	4	52.89102199	0.056880193	49	463	101	613	64	381	168
101	2	52.7016919	0.860657837	322	344	0	666	117	170	379
102	2	51.46602096	0.664565282	1	243	351	595	202	95	298
103	1	34.43224865	0.119803187	0	5	586	591	415	2	174
104	1	53.43577679	0.656359814	0	469	331	800	256	215	329
105	3	56.91486481	0.285090732	0	716	64	780	90	265	425
106	2	35.1621531	0.435652651	0	22	819	841	556	23	262
107	2	35.12615563	0.207502237	290	11	351	652	331	29	292
108	1	35.56532874	0.102662394	409	14	186	609	217	69	323
109	4	52.98048674	0.941352611	0	769	40	809	92	138	579
110	3	53.91149329	0.936697971	0	539	1	540	77	188	275
111	4	53.62449988	0.288581038	0	443	78	521	54	266	201
112	1	36.49321629	0.036577935	0	50	716	766	310	56	400
113	4	53.19711314	0.855771843	50	755	0	805	51	547	207
114	3	54.10108382	0.927831034	0	682	4	686	71	299	316
115	4	54.81211098	0.455110955	0	648	1	649	40	219	390
116	1	50.93975102	0.219870611	154	266	205	625	183	60	382
117	3	54.68120076	0.968204669	0	566	21	587	29	363	195
118	2	34	0.5368169	18	0	678	696	106	65	525
119	2	36.0985976	0.038171385	0	22	726	748	155	47	546
120	3	53.98331976	0.811314092	6	605	83	694	234	102	358
121	4	58.89025912	0.285215402	0	698	7	705	168	104	433
122	2	42.3641941	0.054453406	0	155	586	741	170	96	475
123	2	49.03369838	0.187173854	0	272	521	793	402	63	328
124	2	51.74441777	0.94297898	0	407	235	642	81	225	336
125	4	54.94909432	0.748259185	0	531	23	554	42	255	257
126	3	54.63291913	0.968848971	0	748	45	793	81	203	509
127	4	55.26114956	0.94233895	0	681	43	724	81	181	462
128	3	58.03776943	0.14267681	0	519	135	654	140	121	393
129	1	34.29017068	0.778359248	163	3	490	656	230	26	400
130	2	38.37085785	0.417407334	16	61	547	624	462	31	131
131	1	46.25171205	0.787298549	167	117	185	469	125	91	253
132	3	53.73579143	0.173021062	136	231	61	428	96	149	183
133	2	37.95883798	0.272669495	18	41	497	556	423	25	108
134	2	34	0.003934767	0	0	620	620	277	5	338
135	1	54.56849599	0.484728154	75	422	157	654	124	134	396
136	1	56.4261397	0.257404784	0	541	281	822	218	171	433
137	4	54.47206325	0.936972185	0	876	3	879	69	477	333
138	1	40.83813953	0.05926131	0	101	576	677	214	45	418
139	2	43.57736854	0.070678332	535	134	12	681	163	129	389
140	3	54.47985643	0.903838439	0	650	102	752	160	306	286
141	1	35.10405494	0.12646263	550	11	0	561	119	51	391
142	1	34.13340338	0.272740505	0	1	773	774	455	33	286
143	2	51.48809094	0.118539293	209	280	125	614	194	152	268
144	4	53.59200281	0.966194257	0	617	10	627	56	253	318
145	1	47.69708552	0.870504765	0	146	372	518	139	80	299
146	4	55.44790861	0.793475484	86	622	8	716	44	269	403
147	1	45.22823956	0.247234678	17	179	463	659	436	66	157
148	1	56.0611884	0.72171064	0	541	229	770	134	141	495
149	1	41.32968269	0.028522516	0	84	511	595	269	25	301
150	2	54.42295447	0.866102285	375	449	28	852	234	133	485
